variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,CO,1983,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1984,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1985,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1986,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1987,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1988,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1989,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1990,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1991,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1992,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1993,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1994,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1995,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1996,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1997,Billion Btu,147,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1998,Billion Btu,4,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,1999,Billion Btu,8,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2000,Billion Btu,39,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2001,Billion Btu,123,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2002,Billion Btu,23,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2003,Billion Btu,7,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2004,Billion Btu,127,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2005,Billion Btu,21,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2006,Billion Btu,4,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2007,Billion Btu,-1,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2008,Billion Btu,-5,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2009,Billion Btu,0,SEDS.ELNIB.CO.A
Total Energy Consumption,Bbtu,CO,2010,Billion Btu,-11,SEDS.ELNIB.CO.A
