variable,item,region,year,unit,value,datasrc
Total Energy Consumption,Bbtu,CO,1983,Billion Btu,255521,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1984,Billion Btu,266929,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1985,Billion Btu,277566,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1986,Billion Btu,278417,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1987,Billion Btu,281120,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1988,Billion Btu,272773,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1989,Billion Btu,266101,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1990,Billion Btu,271483,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1991,Billion Btu,273879,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1992,Billion Btu,278016,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1993,Billion Btu,303181,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1994,Billion Btu,308187,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1995,Billion Btu,319506,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1996,Billion Btu,328228,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1997,Billion Btu,326350,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1998,Billion Btu,340751,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,1999,Billion Btu,361725,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2000,Billion Btu,366112,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2001,Billion Btu,386390,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2002,Billion Btu,383293,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2003,Billion Btu,378054,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2004,Billion Btu,416506,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2005,Billion Btu,423029,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2006,Billion Btu,432161,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2007,Billion Btu,441970,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2008,Billion Btu,425042,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2009,Billion Btu,414341,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2010,Billion Btu,421230,SEDS.TEACB.CO.A
Total Energy Consumption,Bbtu,CO,2011,Billion Btu,414130,SEDS.TEACB.CO.A
