region,plant_type,load_segment,Value
Northeast,geo_N_10,wntr_day,0.87
Northeast,geo_N_10,wntr_mrnevn,0.87
Northeast,geo_N_10,wntr_night,0.87
Northeast,geo_N_10,peak,0.87
Northeast,slrPV_N,sum_day,0.479285714
Northeast,slrPV_N,sum_mrnevn,0.010214286
Northeast,slrPV_N,sprfl_day,0.4752
Northeast,slrPV_N,sprfl_mrnevn,0.144785455
Northeast,slrPV_N,wntr_day,0.4752
Northeast,slrPV_N,wntr_mrnevn,0.144785455
Northeast,slrPV_N,peak,0.479285714
Northeast,wnd_Nonsh_3,sum_day,0.314944998
Northeast,wnd_Nonsh_3,sum_mrnevn,0.306591226
Northeast,wnd_Nonsh_3,sum_night,0.308480584
Northeast,wnd_Nonsh_3,sprfl_day,0.195054712
Northeast,wnd_Nonsh_3,sprfl_mrnevn,0.216183118
Northeast,wnd_Nonsh_3,sprfl_night,0.226894683
Northeast,wnd_Nonsh_3,wntr_day,0.195054712
Northeast,wnd_Nonsh_3,wntr_mrnevn,0.216183118
Northeast,wnd_Nonsh_3,wntr_night,0.226894683
Northeast,wnd_Nonsh_3,peak,0.314944998
Northeast,wnd_Nonsh_4,sum_day,0.280749133
Northeast,wnd_Nonsh_4,sum_mrnevn,0.29328533
Northeast,wnd_Nonsh_4,sum_night,0.323069637
Northeast,wnd_Nonsh_4,sprfl_day,0.239652378
Northeast,wnd_Nonsh_4,sprfl_mrnevn,0.271575836
Northeast,wnd_Nonsh_4,sprfl_night,0.296104769
Northeast,wnd_Nonsh_4,wntr_day,0.239652378
Northeast,wnd_Nonsh_4,wntr_mrnevn,0.271575836
Northeast,wnd_Nonsh_4,wntr_night,0.296104769
Northeast,wnd_Nonsh_4,peak,0.280749133
Northeast,wnd_Nonsh_5,sum_day,0.279678748
Northeast,wnd_Nonsh_5,sum_mrnevn,0.323855455
Northeast,wnd_Nonsh_5,sum_night,0.350470485
Northeast,wnd_Nonsh_5,sprfl_day,0.323855455
Northeast,wnd_Nonsh_5,sprfl_mrnevn,0.368285211
Northeast,wnd_Nonsh_5,sprfl_night,0.403743369
Northeast,wnd_Nonsh_5,wntr_day,0.323855455
Northeast,wnd_Nonsh_5,wntr_mrnevn,0.368285211
Northeast,wnd_Nonsh_5,wntr_night,0.403743369
Northeast,wnd_Nonsh_5,peak,0.279678748
Northeast,wnd_Nonsh_6,sum_day,0.380734306
Northeast,wnd_Nonsh_6,sum_mrnevn,0.410914916
Northeast,wnd_Nonsh_6,sum_night,0.449809437
Northeast,wnd_Nonsh_6,sprfl_day,0.322120678
Northeast,wnd_Nonsh_6,sprfl_mrnevn,0.361649509
Northeast,wnd_Nonsh_6,sprfl_night,0.397407614
Northeast,wnd_Nonsh_6,wntr_day,0.322120678
Northeast,wnd_Nonsh_6,wntr_mrnevn,0.361649509
Northeast,wnd_Nonsh_6,wntr_night,0.397407614
Northeast,wnd_Nonsh_6,peak,0.380734306
Northeast,wnd_Nonsh_7,sum_day,0.299131403
Northeast,wnd_Nonsh_7,sum_mrnevn,0.359791062
Northeast,wnd_Nonsh_7,sum_night,0.408222914
Northeast,wnd_Nonsh_7,sprfl_day,0.413638033
Northeast,wnd_Nonsh_7,sprfl_mrnevn,0.461455914
Northeast,wnd_Nonsh_7,sprfl_night,0.501354851
Northeast,wnd_Nonsh_7,wntr_day,0.413638033
Northeast,wnd_Nonsh_7,wntr_mrnevn,0.461455914
Northeast,wnd_Nonsh_7,wntr_night,0.501354851
Northeast,wnd_Nonsh_7,peak,0.299131403
Northeast,wnd_Nshal_3,sum_day,0.306423117
Northeast,wnd_Nshal_3,sum_mrnevn,0.298295385
Northeast,wnd_Nshal_3,sum_night,0.30013362
Northeast,wnd_Nshal_3,sprfl_day,0.189776861
Northeast,wnd_Nshal_3,sprfl_mrnevn,0.210333568
Northeast,wnd_Nshal_3,sprfl_night,0.220755296
Northeast,wnd_Nshal_3,wntr_day,0.189776861
Northeast,wnd_Nshal_3,wntr_mrnevn,0.210333568
Northeast,wnd_Nshal_3,wntr_night,0.220755296
Northeast,wnd_Nshal_3,peak,0.306423117
Northeast,wnd_Nshal_4,sum_day,0.285231586
Northeast,wnd_Nshal_4,sum_mrnevn,0.297967936
Northeast,wnd_Nshal_4,sum_night,0.32822778
Northeast,wnd_Nshal_4,sprfl_day,0.243478678
Northeast,wnd_Nshal_4,sprfl_mrnevn,0.275911828
Northeast,wnd_Nshal_4,sprfl_night,0.300832391
Northeast,wnd_Nshal_4,wntr_day,0.243478678
Northeast,wnd_Nshal_4,wntr_mrnevn,0.275911828
Northeast,wnd_Nshal_4,wntr_night,0.300832391
Northeast,wnd_Nshal_4,peak,0.285231586
Northeast,wnd_Nshal_5,sum_day,0.271266924
Northeast,wnd_Nshal_5,sum_mrnevn,0.314114939
Northeast,wnd_Nshal_5,sum_night,0.339929476
Northeast,wnd_Nshal_5,sprfl_day,0.314114939
Northeast,wnd_Nshal_5,sprfl_mrnevn,0.357208394
Northeast,wnd_Nshal_5,sprfl_night,0.391600085
Northeast,wnd_Nshal_5,wntr_day,0.314114939
Northeast,wnd_Nshal_5,wntr_mrnevn,0.357208394
Northeast,wnd_Nshal_5,wntr_night,0.391600085
Northeast,wnd_Nshal_5,peak,0.271266924
Northeast,wnd_Nshal_6,sum_day,0.406245308
Northeast,wnd_Nshal_6,sum_mrnevn,0.438448161
Northeast,wnd_Nshal_6,sum_night,0.479948799
Northeast,wnd_Nshal_6,sprfl_day,0.343704289
Northeast,wnd_Nshal_6,sprfl_mrnevn,0.385881739
Northeast,wnd_Nshal_6,sprfl_night,0.424035806
Northeast,wnd_Nshal_6,wntr_day,0.343704289
Northeast,wnd_Nshal_6,wntr_mrnevn,0.385881739
Northeast,wnd_Nshal_6,wntr_night,0.424035806
Northeast,wnd_Nshal_6,peak,0.406245308
Northeast,wnd_Nshal_7,sum_day,0.313200461
Northeast,wnd_Nshal_7,sum_mrnevn,0.376713128
Northeast,wnd_Nshal_7,sum_night,0.427422877
Northeast,wnd_Nshal_7,sprfl_day,0.433092686
Northeast,wnd_Nshal_7,sprfl_mrnevn,0.483159587
Northeast,wnd_Nshal_7,sprfl_night,0.524935092
Northeast,wnd_Nshal_7,wntr_day,0.433092686
Northeast,wnd_Nshal_7,wntr_mrnevn,0.483159587
Northeast,wnd_Nshal_7,wntr_night,0.524935092
Northeast,wnd_Nshal_7,peak,0.313200461
Northeast,wnd_Ndeep_3,sum_day,0.34151272
Northeast,wnd_Ndeep_3,sum_mrnevn,0.332454251
Northeast,wnd_Ndeep_3,sum_night,0.334502989
Northeast,wnd_Ndeep_3,sprfl_day,0.211508885
Northeast,wnd_Ndeep_3,sprfl_mrnevn,0.234419613
Northeast,wnd_Ndeep_3,sprfl_night,0.246034771
Northeast,wnd_Ndeep_3,wntr_day,0.211508885
Northeast,wnd_Ndeep_3,wntr_mrnevn,0.234419613
Northeast,wnd_Ndeep_3,wntr_night,0.246034771
Northeast,wnd_Ndeep_3,peak,0.34151272
Northeast,wnd_Ndeep_4,sum_day,0.318643571
Northeast,wnd_Ndeep_4,sum_mrnevn,0.332871855
Northeast,wnd_Ndeep_4,sum_night,0.366676334
Northeast,wnd_Ndeep_4,sprfl_day,0.271999734
Northeast,wnd_Ndeep_4,sprfl_mrnevn,0.308232098
Northeast,wnd_Ndeep_4,sprfl_night,0.336071852
Northeast,wnd_Ndeep_4,wntr_day,0.271999734
Northeast,wnd_Ndeep_4,wntr_mrnevn,0.308232098
Northeast,wnd_Ndeep_4,wntr_night,0.336071852
Northeast,wnd_Ndeep_4,peak,0.318643571
Northeast,wnd_Ndeep_5,sum_day,0.303831986
Northeast,wnd_Ndeep_5,sum_mrnevn,0.351823822
Northeast,wnd_Ndeep_5,sum_night,0.380737343
Northeast,wnd_Ndeep_5,sprfl_day,0.351823822
Northeast,wnd_Ndeep_5,sprfl_mrnevn,0.400090561
Northeast,wnd_Ndeep_5,sprfl_night,0.438610908
Northeast,wnd_Ndeep_5,wntr_day,0.351823822
Northeast,wnd_Ndeep_5,wntr_mrnevn,0.400090561
Northeast,wnd_Ndeep_5,wntr_night,0.438610908
Northeast,wnd_Ndeep_5,peak,0.303831986
Northeast,wnd_Ndeep_6,sum_day,0.436824291
Northeast,wnd_Ndeep_6,sum_mrnevn,0.471451125
Northeast,wnd_Ndeep_6,sum_night,0.516075607
Northeast,wnd_Ndeep_6,sprfl_day,0.369575671
Northeast,wnd_Ndeep_6,sprfl_mrnevn,0.414927911
Northeast,wnd_Ndeep_6,sprfl_night,0.455953919
Northeast,wnd_Ndeep_6,wntr_day,0.369575671
Northeast,wnd_Ndeep_6,wntr_mrnevn,0.414927911
Northeast,wnd_Ndeep_6,wntr_night,0.455953919
Northeast,wnd_Ndeep_6,peak,0.436824291
Northeast,wnd_Ndeep_7,sum_day,0.293680781
Northeast,wnd_Ndeep_7,sum_mrnevn,0.35323513
Northeast,wnd_Ndeep_7,sum_night,0.400784482
Northeast,wnd_Ndeep_7,sprfl_day,0.406100929
Northeast,wnd_Ndeep_7,sprfl_mrnevn,0.453047496
