"state","plant_type_full","Value"
"CT","geo_N_2",9.64
"MA","geo_N_2",9.64
"ME","geo_N_2",9.64
"NH","geo_N_2",9.64
"RI","geo_N_2",9.64
"VT","geo_N_2",9.64
"CT","geo_N_3",9.64
"MA","geo_N_3",9.64
"ME","geo_N_3",9.64
"NH","geo_N_3",9.64
"RI","geo_N_3",9.64
"VT","geo_N_3",9.64
"CT","geo_N_4",9.64
"MA","geo_N_4",9.64
"ME","geo_N_4",9.64
"NH","geo_N_4",9.64
"RI","geo_N_4",9.64
"VT","geo_N_4",9.64
"CT","geo_N_5",9.64
"MA","geo_N_5",9.64
"ME","geo_N_5",9.64
"NH","geo_N_5",9.64
"RI","geo_N_5",9.64
"VT","geo_N_5",9.64
"CT","geo_N_6",9.64
"MA","geo_N_6",9.64
"ME","geo_N_6",9.64
"NH","geo_N_6",9.64
"RI","geo_N_6",9.64
"VT","geo_N_6",9.64
"CT","geo_N_7",9.64
"MA","geo_N_7",9.64
"ME","geo_N_7",9.64
"NH","geo_N_7",9.64
"RI","geo_N_7",9.64
"VT","geo_N_7",9.64
"CT","geo_N_8",9.64
"MA","geo_N_8",9.64
"ME","geo_N_8",9.64
"NH","geo_N_8",9.64
"RI","geo_N_8",9.64
"VT","geo_N_8",9.64
"CT","geo_N_9",9.64
"MA","geo_N_9",9.64
"ME","geo_N_9",9.64
"NH","geo_N_9",9.64
"RI","geo_N_9",9.64
"VT","geo_N_9",9.64
"CT","geo_N_10",9.64
"MA","geo_N_10",9.64
"ME","geo_N_10",9.64
"NH","geo_N_10",9.64
"RI","geo_N_10",9.64
"VT","geo_N_10",9.64
"NY","col_N",6.87
"NY","col_Nccs",9.05
"NY","ngcc_N",3.11
"NY","ngcc_Nccs",6.45
"NY","ngtb_N",9.87
"NY","nuc_N",2.04
"NY","bio_N",5
"NY","lfg_N_hi",8.33
"NY","lfg_N_lo",8.33
"NY","lfg_N_vl",8.33
"NY","fc_N",48.99732548
"NY","geo_N_1",9.64
"NY","geo_N_2",9.64
"NY","geo_N_3",9.64
"NY","geo_N_4",9.64
"NY","geo_N_5",9.64
"NY","geo_N_6",9.64
"NY","geo_N_7",9.64
"NY","geo_N_8",9.64
"NY","geo_N_9",9.64
"NY","geo_N_10",9.64
"NJ","col_N",6.87
"PA","col_N",6.87
"NJ","col_Nccs",9.05
"PA","col_Nccs",9.05
"NJ","ngcc_N",3.11
"PA","ngcc_N",3.11
"NJ","ngcc_Nccs",6.45
"PA","ngcc_Nccs",6.45
"NJ","ngtb_N",9.87
"PA","ngtb_N",9.87
"NJ","nuc_N",2.04
"PA","nuc_N",2.04
"NJ","bio_N",5
"PA","bio_N",5
"NJ","lfg_N_hi",8.33
"PA","lfg_N_hi",8.33
"NJ","lfg_N_lo",8.33
"PA","lfg_N_lo",8.33
"NJ","lfg_N_vl",8.33
"PA","lfg_N_vl",8.33
"NJ","fc_N",48.99732548
"PA","fc_N",48.99732548
"NJ","geo_N_1",9.64
"PA","geo_N_1",9.64
"NJ","geo_N_2",9.64
"PA","geo_N_2",9.64
"NJ","geo_N_3",9.64
"PA","geo_N_3",9.64
"NJ","geo_N_4",9.64
"PA","geo_N_4",9.64
"NJ","geo_N_5",9.64
"PA","geo_N_5",9.64
"NJ","geo_N_6",9.64
"PA","geo_N_6",9.64
"NJ","geo_N_7",9.64
"PA","geo_N_7",9.64
"NJ","geo_N_8",9.64
"PA","geo_N_8",9.64
"NJ","geo_N_9",9.64
"PA","geo_N_9",9.64
"NJ","geo_N_10",9.64
"PA","geo_N_10",9.64
"IL","col_N",6.87
"IN","col_N",6.87
"MI","col_N",6.87
"OH","col_N",6.87
"WI","col_N",6.87
"IL","col_Nccs",9.05
"IN","col_Nccs",9.05
"MI","col_Nccs",9.05
"OH","col_Nccs",9.05
"WI","col_Nccs",9.05
"IL","ngcc_N",3.11
"IN","ngcc_N",3.11
"MI","ngcc_N",3.11
"OH","ngcc_N",3.11
"WI","ngcc_N",3.11
"IL","ngcc_Nccs",6.45
"IN","ngcc_Nccs",6.45
"MI","ngcc_Nccs",6.45
"OH","ngcc_Nccs",6.45
"WI","ngcc_Nccs",6.45
"IL","ngtb_N",9.87
"IN","ngtb_N",9.87
"MI","ngtb_N",9.87
"OH","ngtb_N",9.87
"WI","ngtb_N",9.87
"IL","nuc_N",2.04
"IN","nuc_N",2.04
"MI","nuc_N",2.04
"OH","nuc_N",2.04
"WI","nuc_N",2.04
"IL","bio_N",5
"IN","bio_N",5
"MI","bio_N",5
"OH","bio_N",5
"WI","bio_N",5
"IL","lfg_N_hi",8.33
"IN","lfg_N_hi",8.33
"MI","lfg_N_hi",8.33
"OH","lfg_N_hi",8.33
"WI","lfg_N_hi",8.33
"IL","lfg_N_lo",8.33
"IN","lfg_N_lo",8.33
"MI","lfg_N_lo",8.33
"OH","lfg_N_lo",8.33
"WI","lfg_N_lo",8.33
"IL","lfg_N_vl",8.33
"IN","lfg_N_vl",8.33
"MI","lfg_N_vl",8.33
"OH","lfg_N_vl",8.33
