"state","plant_type","pollutant","Value"
"DC","col_X3ccs","CO2",92.4
"DE","col_X3ccs","CO2",92.4
"GA","col_X3ccs","CO2",92.4
"MD","col_X3ccs","CO2",92.4
"NC","col_X3ccs","CO2",92.4
"SC","col_X3ccs","CO2",92.4
"VA","col_X3ccs","CO2",92.4
"WV","col_X3ccs","CO2",92.4
"DC","ngcc_X1","CO2",53.05666667
"DE","ngcc_X1","CO2",53.05666667
"GA","ngcc_X1","CO2",53.05666667
"MD","ngcc_X1","CO2",53.05666667
"NC","ngcc_X1","CO2",53.05666667
"SC","ngcc_X1","CO2",53.05666667
"VA","ngcc_X1","CO2",53.05666667
"WV","ngcc_X1","CO2",53.05666667
"DC","ngcc_X2","CO2",53.05666667
"DE","ngcc_X2","CO2",53.05666667
"GA","ngcc_X2","CO2",53.05666667
"MD","ngcc_X2","CO2",53.05666667
"NC","ngcc_X2","CO2",53.05666667
"SC","ngcc_X2","CO2",53.05666667
"VA","ngcc_X2","CO2",53.05666667
"WV","ngcc_X2","CO2",53.05666667
"DC","ngcc_X3","CO2",53.05666667
"DE","ngcc_X3","CO2",53.05666667
"GA","ngcc_X3","CO2",53.05666667
"MD","ngcc_X3","CO2",53.05666667
"NC","ngcc_X3","CO2",53.05666667
"SC","ngcc_X3","CO2",53.05666667
"VA","ngcc_X3","CO2",53.05666667
"WV","ngcc_X3","CO2",53.05666667
"DC","ngtb_X1","CO2",53.05666667
"DE","ngtb_X1","CO2",53.05666667
"GA","ngtb_X1","CO2",53.05666667
"MD","ngtb_X1","CO2",53.05666667
"NC","ngtb_X1","CO2",53.05666667
"SC","ngtb_X1","CO2",53.05666667
"VA","ngtb_X1","CO2",53.05666667
"WV","ngtb_X1","CO2",53.05666667
"DC","ngtb_X2","CO2",53.05666667
"DE","ngtb_X2","CO2",53.05666667
"GA","ngtb_X2","CO2",53.05666667
"MD","ngtb_X2","CO2",53.05666667
"NC","ngtb_X2","CO2",53.05666667
"SC","ngtb_X2","CO2",53.05666667
"VA","ngtb_X2","CO2",53.05666667
"WV","ngtb_X2","CO2",53.05666667
"DC","ngtb_X3","CO2",53.05666667
"DE","ngtb_X3","CO2",53.05666667
"GA","ngtb_X3","CO2",53.05666667
"MD","ngtb_X3","CO2",53.05666667
"NC","ngtb_X3","CO2",53.05666667
"SC","ngtb_X3","CO2",53.05666667
"VA","ngtb_X3","CO2",53.05666667
"WV","ngtb_X3","CO2",53.05666667
"DC","stog_X1","CO2",76.89
"DE","stog_X1","CO2",76.89
"GA","stog_X1","CO2",76.89
"MD","stog_X1","CO2",76.89
"NC","stog_X1","CO2",76.89
"SC","stog_X1","CO2",76.89
"VA","stog_X1","CO2",76.89
"WV","stog_X1","CO2",76.89
"DC","stog_X2","CO2",76.89
"DE","stog_X2","CO2",76.89
"GA","stog_X2","CO2",76.89
"MD","stog_X2","CO2",76.89
"NC","stog_X2","CO2",76.89
"SC","stog_X2","CO2",76.89
"VA","stog_X2","CO2",76.89
"WV","stog_X2","CO2",76.89
"DC","stog_X3","CO2",76.89
"DE","stog_X3","CO2",76.89
"GA","stog_X3","CO2",76.89
"MD","stog_X3","CO2",76.89
"NC","stog_X3","CO2",76.89
"SC","stog_X3","CO2",76.89
"VA","stog_X3","CO2",76.89
"WV","stog_X3","CO2",76.89
"DC","col_N","CO2",92.4
"DE","col_N","CO2",92.4
"GA","col_N","CO2",92.4
"MD","col_N","CO2",92.4
"NC","col_N","CO2",92.4
"SC","col_N","CO2",92.4
"VA","col_N","CO2",92.4
"WV","col_N","CO2",92.4
"DC","col_Nccs","CO2",9.24
"DE","col_Nccs","CO2",9.24
"GA","col_Nccs","CO2",9.24
"MD","col_Nccs","CO2",9.24
"NC","col_Nccs","CO2",9.24
"SC","col_Nccs","CO2",9.24
"VA","col_Nccs","CO2",9.24
"WV","col_Nccs","CO2",9.24
"DC","ngcc_N","CO2",53.05666667
"DE","ngcc_N","CO2",53.05666667
"GA","ngcc_N","CO2",53.05666667
"MD","ngcc_N","CO2",53.05666667
"NC","ngcc_N","CO2",53.05666667
"SC","ngcc_N","CO2",53.05666667
"VA","ngcc_N","CO2",53.05666667
"WV","ngcc_N","CO2",53.05666667
"DC","ngcc_Nccs","CO2",5.305666667
"DE","ngcc_Nccs","CO2",5.305666667
"GA","ngcc_Nccs","CO2",5.305666667
"MD","ngcc_Nccs","CO2",5.305666667
"NC","ngcc_Nccs","CO2",5.305666667
"SC","ngcc_Nccs","CO2",5.305666667
"VA","ngcc_Nccs","CO2",5.305666667
"WV","ngcc_Nccs","CO2",5.305666667
"DC","ngtb_N","CO2",53.05666667
"DE","ngtb_N","CO2",53.05666667
"GA","ngtb_N","CO2",53.05666667
"MD","ngtb_N","CO2",53.05666667
"NC","ngtb_N","CO2",53.05666667
"SC","ngtb_N","CO2",53.05666667
"VA","ngtb_N","CO2",53.05666667
"WV","ngtb_N","CO2",53.05666667
"AL","col_X1","CO2",92.4
"KY","col_X1","CO2",92.4
"MS","col_X1","CO2",92.4
"TN","col_X1","CO2",92.4
