"state","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"MI","ngtb_X3","existing","ngtb","no",2020,0.79205478,4.79392013317902,3.79704735642268,1.5545,14.0664896261435,21.86635812384,25.6634054802627,34.24542896
"MI","nuc_X","existing","nuc","yes",2020,32.909275,2.55696031437946,84.14771015,4.3141,131.239238520201,566.1791989,650.32690905,34.24542896
"MI","oth_X","existing","oth","no",2020,0.001911297,3.33009206716695,0.0063647949777,0.1707,1.23992620912712,0.211655403898,0.2180201988757,30.1199975640739
"MI","slr_X","existing","slr","yes",2020,0.142961,0,0,0.1031,20.6915296,2.13329670176,2.13329670176,34.24542896
"MI","stog_X2","existing","stog","no",2020,-0.696488,0,0,1.9788,0,0,0,34.24542896
"MI","wnd_X","existing","wnd","yes",2020,5.81344,0,0,2.1391,47.6538110132439,101.93626713843,101.93626713843,34.24542896
"MN","bio_X","existing","bio","yes",2020,0.879630533004,5.26741042864392,4.63337504289888,0.3589,199.10696074394,71.459488211,76.0928632538989,29.34733352
"MN","col_X1","existing","col","no",2020,0.2651978590074,3.23267548187611,0.85729861665926,0.4011,84.1555673613064,33.75479806862,34.6120966852793,29.34733352
"MN","col_X2","existing","col","no",2020,17.80276964504,9.44877375255798,168.21434254489,4.3023,57.5935986100923,247.7849393002,415.99928184509,29.34733352
"MN","col_X3","existing","col","no",2020,0.057505489004,3.48478935929196,0.20039451618202,0.2437,84.0549581871153,20.4841933102,20.684587826382,29.34733352
"MN","hyd_X","existing","hyd","yes",2020,1.05603421,0,0,0.2153,92.6869600575012,19.95550250038,19.95550250038,29.34733352
"MN","msw_X","existing","msw","no",2020,0.466712468,0.942969809088109,0.440095766849,0.0971,2.24806193192585,0.21828681359,0.658382580439,29.34733352
"MN","ngcc_X1","existing","ngcc","no",2020,11.3916899978,2.25048025765554,25.636773441381,2.9732,12.8993447349034,38.3523317658149,63.9891052071959,29.34733352
"MN","ngtb_X1","existing","ngtb","no",2020,0.661136885,4.76968233465472,3.15341292117315,1.3038,12.2097439405981,15.9190641497518,19.072477070925,29.34733352
"MN","ngtb_X2","existing","ngtb","no",2020,0.405661005,4.74457102839333,1.92468745167192,1.9915,14.9756466105549,29.82400022492,31.7486876765919,29.34733352
"MN","ngtb_X3","existing","ngtb","no",2020,0.008379,4.7919236358933,0.04015152814515,0.6775,25.2549606241033,17.11023582283,17.1503873509751,29.34733352
"MN","nuc_X","existing","nuc","yes",2020,14.104547,2.5569603142873,36.06476693,1.8712,131.239238499359,245.57486308,281.63963001,29.34733352
"MN","oth_X","existing","oth","no",2020,0.066423482,3.30270597215906,0.219377230693,0.1851,12.3663853949217,2.2890179366,2.508395167293,29.34733352
"MN","slr_X","existing","slr","yes",2020,1.248467,0,0,0.8868,20.6915295998196,18.34924844912,18.34924844912,29.34733352
"MN","wnd_X","existing","wnd","yes",2020,10.9648686,0,0,3.8571,47.6538110157113,183.8055144687,183.8055144687,29.34733352
"MO","bio_X","existing","bio","yes",2020,0.043907651,5.2665798268279,0.231243149,0.0533,136.630741013133,7.282418496,7.513661645,27.22135707
"MO","col_X1","existing","col","no",2020,30.9460742440015,7.28572492452958,225.464584435865,5.3805,48.54900745734,261.217934624218,486.682519060082,27.8124572093328
"MO","col_X2","existing","col","no",2020,23.4205699796,8.32006891132451,194.86075617277,5.1782,61.3183659393226,317.518762507,512.37951867977,27.7197404533775
"MO","col_X3","existing","col","no",2020,0.55020600403031,5.8189044123732,3.2015961445662,1.2235,67.5512968658276,82.64901171534,85.8506078599062,27.3402937603101
"MO","hyd_X","existing","hyd","yes",2020,2.215998,0,0,0.506,92.6869600498024,46.8996017852,46.8996017852,28.1246676263552
"MO","ngcc_X1","existing","ngcc","no",2020,6.151564999999,2.26266719371936,13.91894431553,2.0325,13.0395294443149,26.50284359557,40.4217879111,28.9942641090509
"MO","ngtb_X1","existing","ngtb","no",2020,0.363454,4.79192363556388,1.74164381304024,0.3866,15.8293954286749,6.11964427272573,7.86128808576596,27.3472998273914
"MO","ngtb_X2","existing","ngtb","no",2020,0.581702002,4.78617884986561,2.78412981889688,2.7931,11.9521273658981,33.38348694569,36.1676167645869,28.3386841596658
"MO","ngtb_X3","existing","ngtb","no",2020,0.465013004,4.78701069106198,2.22602222163085,2.2459,17.5197450934938,39.3475955054777,41.5736177271086,29.0961598556468
"MO","nuc_X","existing","nuc","yes",2020,9.189863,2.55696031485997,23.49811499,1.2358,131.239238469008,162.1854509,185.68356589,27.22135707
"MO","oth_X","existing","oth","no",2020,8.9e-05,0,0,0.0012,0,0,0,29.34733352
"MO","slr_X","existing","slr","yes",2020,0.099782,0,0,0.0621,20.6915295987118,1.28494398808,1.28494398808,27.9955822031914
"MO","stog_X1","existing","stog","no",2020,0.356355,0,0,0.1924,0,0,0,28.7739990956257
"MO","stog_X2","existing","stog","no",2020,-0.019611,0,0,0.408,0,0,0,27.22135707
"MO","wnd_X","existing","wnd","yes",2020,2.8578903,0,0,0.9594,47.6538110101105,45.7190662831,45.7190662831,28.5832224524493
"MS","bio_X","existing","bio","yes",2020,1.382463786,5.27379866038675,7.29083566264,0.311,295.469705196141,91.891078316,99.18191397864,27.22135707
"MS","col_X1","existing","col","no",2020,0.2661829369829,3.24423411237091,0.863559764291,0.311,79.4557977234727,24.710753092,25.574312856291,27.22135707
"MS","col_X2","existing","col","no",2020,8.5219929761,7.25377902980621,61.81665394219,3.0321,113.734401690231,344.85407936495,406.67073330714,27.22135707
"MS","col_X3","existing","col","no",2020,0.633218,2.80211006918628,1.77434653379,0.8404,65.2047416111375,54.79806485,56.57241138379,27.22135707
"MS","ngcc_X1","existing","ngcc","no",2020,41.7794,2.27856155756904,95.1969347383,8.7089,13.0166702263856,113.360879334569,208.557814072869,27.22135707
"MS","ngcc_X2","existing","ngcc","no",2020,0.000155,2.21329416587097,0.00034306059571,0.0492,20.6877785203252,1.0178387032,1.01818176379571,27.22135707
"MS","ngcc_X3","existing","ngcc","no",2020,0.000437,2.21329416613272,0.0009672095506,0.0165,24.7522524,0.4084121646,0.4093793741506,27.22135707
"MS","ngtb_X1","existing","ngtb","no",2020,0.403883,4.79192363570638,1.93537649376,0.1724,11.0474590703596,1.90458194373,3.83995843749,27.22135707
"MS","ngtb_X2","existing","ngtb","no",2020,1.234882,4.79192363569961,5.9174602431,0.5947,11.047459067244,6.56992390729,12.48738415039,27.22135707
"MS","ngtb_X3","existing","ngtb","no",2020,0.381291,4.79192363623474,1.82711735518358,0.7712,11.6545736514653,8.98800720001,10.8151245551936,27.22135707
"MS","nuc_X","existing","nuc","yes",2020,11.032514,2.55696031475691,28.20970047,1.44,131.239238472222,188.9845034,217.19420387,27.22135707
"MS","slr_X","existing","slr","yes",2020,0.32234,0,0,0.2181,20.691529598166,4.51282260536,4.51282260536,27.22135707
"MT","bio_X","existing","bio","yes",2020,0.02014,5.21143182720953,0.104958237,0.0028,135.638077,0.3797866156,0.4847448526,22.75531441
"MT","col_X1","existing","col","no",2020,0.0071620000001,3.21158773787753,0.023001391379,0.004,121.2093735025,0.48483749401,0.507838885389,29.34733352
"MT","col_X2","existing","col","no",2020,13.87251267,10.0990168461385,140.0987391526,2.4329,57.8132805847302,140.65393033459,280.75266948719,22.75531441
"MT","col_X3","existing","col","no",2020,0.699679991,5.82080900224,4.0727035903,0.2118,61.6815101935788,13.064143859,17.1368474493,25.2186161253925
"MT","hyd_X","existing","hyd","yes",2020,10.004523,0,0,2.7009,92.686960052501,250.3382104058,250.3382104058,22.75531441
"MT","ngtb_X1","existing","ngtb","no",2020,0.443516,4.79192363567492,2.1252948032,0.1149,11.0474590670148,1.2693530468,3.39464785,27.0233999077669
"MT","ngtb_X2","existing","ngtb","no",2020,0.343079004,4.7739054879616,1.63782674,0.2941,11.0474590683441,3.249057712,4.886884452,24.9906471416995
"MT","ngtb_X3","existing","ngtb","no",2020,0.003717,4.7919236354587,0.017811580153,0.1256,19.4459775294586,2.4424147777,2.460226357853,29.34733352
"MT","slr_X","existing","slr","yes",2020,0.029393,0,0,0.017,20.6915296,0.3517560032,0.3517560032,22.75531441
"MT","wnd_X","existing","wnd","yes",2020,2.373356,0,0,0.8001,47.6538110142482,38.1278141925,38.1278141925,23.0190333929323
