state,end_state,Value
MT,OH,0
MT,OK,0.347645405
MT,OR,1.386360992
MT,PA,0
MT,RI,0
MT,SC,0
MT,SD,0.522998538
MT,TN,0
MT,TX,0.19252865
MT,UT,999
MT,VA,0
MT,VT,0
MT,WA,1.386360992
MT,WI,0
MT,WV,0
MT,WY,999
NC,AL,4.132096862
NC,AR,0.900676298
NC,AZ,0
NC,CA,0
NC,CO,0
NC,CT,0
NC,DC,999
NC,DE,999
NC,FL,1.139285955
NC,GA,999
NC,IA,0
NC,ID,0
NC,IL,12.23614342
NC,IN,12.23614342
NC,KS,0
NC,KY,4.132096862
NC,LA,0.900676298
NC,MA,0
NC,MD,999
NC,ME,0
NC,MI,12.23614342
NC,MN,0
NC,MO,0
NC,MS,4.132096862
NC,MT,0
NC,NC,999
NC,ND,0
NC,NE,0
NC,NH,0
NC,NJ,8.866726901
NC,NM,0
NC,NV,0
NC,NY,0.30844229
NC,OH,12.23614342
NC,OK,0.900676298
NC,OR,0
NC,PA,8.866726901
NC,RI,0
NC,SC,999
NC,SD,0
NC,TN,4.132096862
NC,TX,0
NC,UT,0
NC,VA,999
NC,VT,0
NC,WA,0
NC,WI,12.23614342
NC,WV,999
NC,WY,0
ND,AL,1.165935163
ND,AR,2.419161571
ND,AZ,0.502492465
ND,CA,0
ND,CO,0.502492465
ND,CT,0
ND,DC,0.126642681
ND,DE,0.126642681
ND,FL,0
ND,GA,0.126642681
ND,IA,999
ND,ID,0.502492465
ND,IL,4.660427008
ND,IN,4.660427008
ND,KS,999
ND,KY,1.165935163
ND,LA,2.419161571
ND,MA,0
ND,MD,0.126642681
ND,ME,0
ND,MI,4.660427008
ND,MN,999
ND,MO,999
ND,MS,1.165935163
ND,MT,0.502492465
ND,NC,0.126642681
ND,ND,999
ND,NE,999
ND,NH,0
ND,NJ,0.16368111
ND,NM,0.502492465
ND,NV,0.502492465
ND,NY,0
ND,OH,4.660427008
ND,OK,2.419161571
ND,OR,0
ND,PA,0.16368111
ND,RI,0
ND,SC,0.126642681
ND,SD,999
ND,TN,1.165935163
ND,TX,0.711309416
ND,UT,0.502492465
ND,VA,0.126642681
ND,VT,0
ND,WA,0
ND,WI,4.660427008
ND,WV,0.126642681
ND,WY,0.502492465
NE,AL,1.165935163
NE,AR,2.419161571
NE,AZ,0.502492465
NE,CA,0
NE,CO,0.502492465
NE,CT,0
NE,DC,0.126642681
NE,DE,0.126642681
NE,FL,0
NE,GA,0.126642681
NE,IA,999
NE,ID,0.502492465
NE,IL,4.660427008
NE,IN,4.660427008
NE,KS,999
NE,KY,1.165935163
NE,LA,2.419161571
NE,MA,0
NE,MD,0.126642681
NE,ME,0
NE,MI,4.660427008
NE,MN,999
NE,MO,999
NE,MS,1.165935163
NE,MT,0.502492465
NE,NC,0.126642681
NE,ND,999
NE,NE,999
NE,NH,0
NE,NJ,0.16368111
NE,NM,0.502492465
NE,NV,0.502492465
NE,NY,0
NE,OH,4.660427008
NE,OK,2.419161571
NE,OR,0
NE,PA,0.16368111
NE,RI,0
NE,SC,0.126642681
NE,SD,999
NE,TN,1.165935163
NE,TX,0.711309416
NE,UT,0.502492465
NE,VA,0.126642681
NE,VT,0
NE,WA,0
NE,WI,4.660427008
NE,WV,0.126642681
NE,WY,0.502492465
NH,AL,0
NH,AR,0
NH,AZ,0
NH,CA,0
NH,CO,0
NH,CT,999
NH,DC,0
NH,DE,0
NH,FL,0
NH,GA,0
NH,IA,0
NH,ID,0
NH,IL,0
NH,IN,0
NH,KS,0
NH,KY,0
NH,LA,0
NH,MA,999
NH,MD,0
NH,ME,999
NH,MI,0
NH,MN,0
NH,MO,0
NH,MS,0
NH,MT,0
NH,NC,0
NH,ND,0
NH,NE,0
NH,NH,999
NH,NJ,0
NH,NM,0
NH,NV,0
NH,NY,1.886
NH,OH,0
NH,OK,0
NH,OR,0
NH,PA,0
NH,RI,999
NH,SC,0
NH,SD,0
NH,TN,0
NH,TX,0
NH,UT,0
NH,VA,0
NH,VT,999
NH,WA,0
NH,WI,0
NH,WV,0
NH,WY,0
NJ,AL,0.854111266
NJ,AR,0
NJ,AZ,0
NJ,CA,0
NJ,CO,0
NJ,CT,0
NJ,DC,7.846049689
NJ,DE,7.846049689
NJ,FL,0
NJ,GA,7.846049689
NJ,IA,0.145666475
NJ,ID,0
NJ,IL,8.340228511
NJ,IN,8.340228511
NJ,KS,0.145666475
NJ,KY,0.854111266
NJ,LA,0
NJ,MA,0
NJ,MD,7.846049689
